,Price,Beds_Count,Baths_Count,Sq_Ft_Count,Address,Year Built Details,Roof,Property Sub Type,Attached Garage,Sewer,Attribution Contact,Possible Bedrooms,Fireplace,Cooling,Association Fee,Flooring,Window Features,Parking Features,Patio And Porch Features,Heating,Fencing
2,"$349,000",2,2,1219,3901 Aspencrest Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-722-6410,2,"eatures: Family Room, Gas","Central Air, Electric",23,"Carpet, Laminate, Tile",Blinds,"Attached, Garage, Garage Door Opener, Inside Entrance, Private","Covered, Patio","Central, Gas","Block, Back Yard"
3,"$389,000",3,2,1365,3107 Single Leaf Cir,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,702-552-0120,3,,"Central Air, Gas",,"Laminate, Tile",Double Pane Windows,"Attached, Garage",,"Central, Gas","Block, Back Yard"
4,"$290,000",3,2,1079,1304 Purple Sage Ave,RESALE,"Composition, Shingle",Single Family Residence,,Public Sewer,TJSellsVegas@gmail.com,3,,"Central Air, Electric",,Laminate,Drapes,Attached Carport,,"Central, Gas","Back Yard, Wood"
5,"$320,000",3,2,None,705 van Ert Ave,RESALE,"Composition, Shingle",Single Family Residence,,Public Sewer,702-586-0032,3,,"Central Air, Electric",,Hardwood,,Attached Carport,,"Central, Electric","Back Yard, Chain Link, Metal"
6,"$1,200,000",6,6,5061,4815 N Riley St,RESALE,Tile,Single Family Residence,Yes,Septic Tank,casie.jolley@gmail.com,8,"eatures: Bedroom, Gas, Glass Doors, Great Room","Central Air, Electric, 2 Units",,"Carpet, Laminate, Marble, Tile","Double Pane Windows, Plantation Shutters, Skylight(s)","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance, RV Access/Parking, RV Paved",Balcony,"Central, Gas, Multiple Heating Units","Block, Back Yard, RV Gate"
7,"$499,000",4,3,2801,6788 Lavender Sky Ct,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-274-3223,6,,"Central Air, Electric, 2 Units",25,"Carpet, Ceramic Tile, Tile","Blinds, Double Pane Windows, Drapes","Attached, Garage",,"Central, Gas","Block, Back Yard"
9,"$925,000",5,4,4581,9732 University Ridge Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,Charmaine@theprosperogroup.com,8,"eatures: Gas, Great Room","Central Air, Electric",110,"Carpet, Ceramic Tile","Blinds, Window Treatments","Attached, Garage, Inside Entrance","Balcony, Covered, Deck, Patio","Central, Gas","Block, Back Yard"
10,"$400,000",3,3,1478,10590 Pueblo Springs St Unit 3,RESALE,Tile,Single Family Residence,Yes,Public Sewer,mehdiarefi@me.com,3,,"Central Air, Electric",44,"Carpet, Linoleum, Tile, Vinyl",Blinds,"Attached, Garage",,"Central, Gas","Back Yard, Vinyl"
11,"$329,999",3,2,1356,69 Maya St,RESALE,"Composition, Shingle",Single Family Residence,,Public Sewer,702-479-0079,3,,"Central Air, Electric",,"Linoleum, Vinyl",Blinds,,,"Central, Gas","Block, Back Yard, Chain Link"
12,"$474,000",2,2,1671,801 Titan Peak Pl Unit 201,RESALE,Tile,Condominium,Yes,Public Sewer,(702) 927-2747,3,"eatures: Gas, Living Room","Central Air, Electric", Frequency: Monthly,"Laminate, Tile",Blinds,"Attached, Garage, Garage Door Opener, Private, Guest",Balcony,"Central, Gas",None
13,"$315,000",4,2,1180,3790 E Gowan Rd,RESALE,Asphalt,Single Family Residence,Yes,Public Sewer,702-418-7744,4,,"Central Air, Electric",,Concrete,Blinds,"Attached, Garage","Covered, Patio, Porch","Central, Gas","Chain Link, Full"
14,"$349,420",3,2,1058,1324 E Oakey Blvd,RESALE,"Composition, Shingle",Single Family Residence,,Public Sewer,702-385-6967,3,,"Central Air, Electric",ncludes: None,"Laminate, Linoleum, Tile, Vinyl",Blinds,Attached Carport,,"Central, Electric","Block, Back Yard, Chain Link"
15,"$889,900",4,3,3358,369 Azar Swan Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-727-1050,6,,"Central Air, Electric, 2 Units",90,"Carpet, Hardwood","Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Exterior Access Door, Epoxy Flooring, Finished Garage, Garage, Garage Door Opener, RV Gated, RV Access/Parking","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
16,"$414,900",3,2,1354,10372 Pink Cloud Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-868-9000,3,"eatures: Gas, Living Room","Central Air, Electric",45,"Carpet, Linoleum, Vinyl",,"Attached, Garage","Covered, Patio","Central, Gas","Block, Back Yard"
17,"$225,000",2,2,1029,2725 S Nellis Blvd Unit 1057,RESALE,Tile,Condominium,,Public Sewer,disleydonate.realtyonegroup@gmail.com,2,"eatures: Gas, Living Room","Central Air, Electric",160,Ceramic Tile,Blinds,"Attached Carport, Assigned, Covered, Guest",Patio,"Central, Gas",None
18,"$2,499,900",3,4,3797,54 Glade Hollow Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-809-2330,4,"eatures: Gas, Great Room","Central Air, Electric, High Efficiency, 2 Units", Frequency: Monthly,"Carpet, Tile",Low Emissivity Windows,"Attached, Exterior Access Door, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Gas, High Efficiency, Multiple Heating Units","Brick, Back Yard"
19,"$144,900",2,2,None,4300 N Lamont St Unit 232,RESALE,Tile,Condominium,,Public Sewer,702-868-9000,2,,"Central Air, Electric",162,Carpet,,"Assigned, Covered, Guest",,"Central, Electric",None
20,"$3,800,000",4,5,4618,4204 Lapis Ridge Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-360-2030,4,"eatures: Gas, Great Room, Primary Bedroom","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Tile","Blinds, Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, Storage","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
21,"$1,779,000",4,5,4326,8116 Sapphire Bay Cir,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-696-1900,6,"eatures: Gas, Great Room, Primary Bedroom","Central Air, Electric, High Efficiency, 2 Units", Frequency: Monthly,"Hardwood, Marble, Tile","Double Pane Windows, Low Emissivity Windows","Attached, Garage, Garage Door Opener, RV Hook-Ups, RV Potential","Balcony, Covered, Patio","Gas, High Efficiency, Multiple Heating Units","Block, Back Yard, Stucco Wall, Wrought Iron"
22,"$399,900",3,2,1476,1563 Palma Vista Ave,RESALE,Pitched,Single Family Residence,,Public Sewer,702-727-1050,3,"eatures: Family Room, Other","Central Air, Electric",ncludes: None,Tile,"Double Pane Windows, Plantation Shutters","Attached Carport, RV Potential","Covered, Patio, Porch","Central, Electric","Block, Full"
23,"$1,399,900",6,6,4876,10628 Lago Cantini St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-583-3030,8,"eatures: Family Room, Gas, Outside","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Laminate, Tile","Double Pane Windows, Insulated Windows, Low Emissivity Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
24,"$649,500",None,None,3688,4610 Elk Springs Ave,RESALE,Tile,Multi Family,,Public Sewer,702-727-3500,,,Central Air,572,Ceramic Tile,Blinds,Paved,Balcony,"Central, Gas",
25,"$452,900",4,3,2220,5243 Sunnywood Dr,RESALE,"Composition, Shingle, Tile",Single Family Residence,Yes,Public Sewer,702-868-9000,4,"eatures: Gas, Living Room","Central Air, Electric",,Carpet,,"Attached, Garage",,"Central, Gas","Block, Back Yard"
26,"$649,900",4,3,3027,6492 Gazania St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-373-7565,4,"eatures: Gas, Primary Bedroom, Multi-Sided","Central Air, Gas, High Efficiency, 2 Units",54,"Carpet, Ceramic Tile, Tile","Double Pane Windows, Plantation Shutters, Tinted Windows","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance, RV Hook-Ups, RV Access/Parking, Shelves, Storage, Workshop in Garage","Covered, Patio","Central, Gas, High Efficiency","Block, Back Yard"
27,"$289,000",3,2,1454,6868 Sky Pointe Dr Unit 2060,RESALE,Tile,Condominium,Yes,Public Sewer,702-688-6315,3,,"Central Air, Electric",160,"Carpet, Tile",Blinds,"Attached, Garage, Private",Balcony,"Central, Gas",None
28,"$595,000",3,3,2135,3600 Beeson Ct,RESALE,"Composition, Shingle",Single Family Residence,,Septic Tank,702-434-5200,4,"eatures: Family Room, Wood Burning","Central Air, Electric",,"Carpet, Concrete, Tile","Blinds, Double Pane Windows",RV Access/Parking,"Covered, Patio, Porch","Central, Electric","Back Yard, Chain Link, RV Gate"
29,"$3,250,000",5,6,6592,778 Tozzetti Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,,5,"eatures: Gas, Living Room, Primary Bedroom","Central Air, Electric",225,"Hardwood, Marble, Tile",,"Attached, Garage",Balcony,"Central, Gas","Block, Back Yard"
30,"$759,900",4,3,2630,10520 Maystar Ln,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-930-8408,5,"eatures: Gas, Living Room","Central Air, Electric", Frequency: Monthly,"Carpet, Hardwood, Tile","Blinds, Double Pane Windows","Attached, Garage","Balcony, Covered, Patio","Central, Gas","Block, Back Yard"
31,"$374,990",3,3,1586,12186 Azure Gate Rd Unit 1,NEW,Tile,Condominium,Yes,Public Sewer,702-583-3030,4,eatures: Glass Doors,"Central Air, Electric",293,"Carpet, Linoleum, Tile, Vinyl","Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener, Inside Entrance, Storage, Guest",Patio,"Central, Electric, Zoned",None
32,"$423,990",4,2,1601,726 Holland Heights Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-216-4888,4,"eatures: Gas, Living Room","Central Air, Electric",55,"Carpet, Ceramic Tile","Blinds, Double Pane Windows, Plantation Shutters","Attached, Garage, Garage Door Opener",Patio,"Central, Gas","Block, Back Yard"
33,"$195,000",2,2,None,5009 Spencer St Unit A,RESALE,Slate,Townhouse,,Public Sewer,(702) 861-4943,2,"eatures: Gas, Living Room","Central Air, Electric",200,Laminate,Blinds,"Detached, Garage, Private",,"Central, Electric",None
34,"$975,000",3,4,2718,4300 Veraz St Unit 1,RESALE,Flat,Condominium,Yes,Public Sewer,702-216-4663,3,,"Central Air, Electric", Frequency: Monthly,"Hardwood, Marble, Tile","Double Pane Windows, Window Treatments","Attached, Garage, Garage Door Opener, Open, Guest","Balcony, Covered, Patio","Central, Gas",None
35,"$395,000",4,3,2239,401 Pinecliff Dr,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,(702) 371-2272,4,"eatures: Living Room, Wood Burning","Central Air, Electric",,"Carpet, Hardwood",,"Attached, Garage","Covered, Patio","Central, Gas","Back Yard, Wood"
